2024-11-16 23:14:55 : ===================== 2024-11-16T23:14:55.166510 =====================
2024-11-16 23:14:55 : ===================== FINE-TUNING ON PROMPT 1 =====================
2024-11-16 23:14:55 : Settings: Namespace(data='init/asap_5_splits.csv', bert_model_path='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p8_3', chunk_sizes='90_30_130_10', prompt=[1], batch_size=16, epochs=80, sample=-1, learning_rate=6e-05, result_file='results/finetune/p1.txt', save_model='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p1/p1.pt', device='cuda', log=PosixPath('logs/finetune-p1.log'), comment='Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.')
2024-11-16 23:14:55 : Additional Comments: Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.
2024-11-16 23:15:00 : Train/Eval/Test: 1076/349/358
2024-11-16 23:15:00 : Started training loop for p1.pt
2024-11-16 23:22:28 : 3/80 | 23/68: 0.05195
2024-11-16 23:22:30 : 3/80 | 24/68: 0.06971
2024-11-16 23:22:32 : 3/80 | 25/68: 0.10686
2024-11-16 23:22:34 : 3/80 | 26/68: 0.08937
2024-11-16 23:22:36 : 3/80 | 27/68: 0.06904
2024-11-16 23:22:38 : 3/80 | 28/68: 0.06217
2024-11-16 23:22:40 : 3/80 | 29/68: 0.08258
2024-11-16 23:22:42 : 3/80 | 30/68: 0.06226
2024-11-16 23:22:44 : 3/80 | 31/68: 0.21592
2024-11-16 23:22:47 : 3/80 | 32/68: 0.06750
2024-11-16 23:22:49 : 3/80 | 33/68: 0.02167
2024-11-16 23:22:51 : 3/80 | 34/68: 0.07961
2024-11-16 23:22:53 : 3/80 | 35/68: 0.06865
2024-11-16 23:22:55 : 3/80 | 36/68: 0.03425
2024-11-16 23:22:57 : 3/80 | 37/68: 0.05023
2024-11-16 23:22:59 : 3/80 | 38/68: 0.08402
2024-11-16 23:23:01 : 3/80 | 39/68: 0.06606
2024-11-16 23:23:03 : 3/80 | 40/68: 0.09002
2024-11-16 23:23:05 : 3/80 | 41/68: 0.03244
2024-11-16 23:23:08 : 3/80 | 42/68: 0.03030
2024-11-16 23:23:10 : 3/80 | 43/68: 0.10338
2024-11-16 23:23:12 : 3/80 | 44/68: 0.07255
2024-11-16 23:23:14 : 3/80 | 45/68: 0.05590
2024-11-16 23:23:16 : 3/80 | 46/68: 0.08147
2024-11-16 23:23:18 : 3/80 | 47/68: 0.09487
2024-11-16 23:23:20 : 3/80 | 48/68: 0.09116
2024-11-16 23:23:22 : 3/80 | 49/68: 0.05857
2024-11-16 23:23:24 : 3/80 | 50/68: 0.06718
2024-11-16 23:23:27 : 3/80 | 51/68: 0.09915
2024-11-16 23:23:29 : 3/80 | 52/68: 0.03221
2024-11-16 23:23:31 : 3/80 | 53/68: 0.10303
2024-11-16 23:23:33 : 3/80 | 54/68: 0.08247
2024-11-16 23:23:35 : 3/80 | 55/68: 0.03439
2024-11-16 23:23:37 : 3/80 | 56/68: 0.08764
2024-11-16 23:23:40 : 3/80 | 57/68: 0.12491
2024-11-16 23:23:42 : 3/80 | 58/68: 0.05457
2024-11-16 23:23:44 : 3/80 | 59/68: 0.09557
2024-11-16 23:23:46 : 3/80 | 60/68: 0.08750
2024-11-16 23:23:48 : 3/80 | 61/68: 0.09354
2024-11-16 23:23:50 : 3/80 | 62/68: 0.03193
2024-11-16 23:23:53 : 3/80 | 63/68: 0.13789
2024-11-16 23:23:55 : 3/80 | 64/68: 0.06161
2024-11-16 23:23:57 : 3/80 | 65/68: 0.06779
2024-11-16 23:23:59 : 3/80 | 66/68: 0.04866
2024-11-16 23:24:01 : 3/80 | 67/68: 0.10861
2024-11-16 23:24:45 : 3: Evaluation loss: 0.49739 | Pearson: 0.78100 | QWK:  0.74900
2024-11-16 23:24:47 : 4/80 | 0/68: 0.08558
2024-11-16 23:24:49 : 4/80 | 1/68: 0.10592
2024-11-16 23:24:51 : 4/80 | 2/68: 0.08040
2024-11-16 23:24:54 : 4/80 | 3/68: 0.12001
2024-11-16 23:24:56 : 4/80 | 4/68: 0.07856
2024-11-16 23:24:58 : 4/80 | 5/68: 0.09799
2024-11-16 23:25:00 : 4/80 | 6/68: 0.10350
2024-11-16 23:25:02 : 4/80 | 7/68: 0.05974
2024-11-16 23:25:04 : 4/80 | 8/68: 0.04969
2024-11-16 23:25:06 : 4/80 | 9/68: 0.03694
2024-11-16 23:25:08 : 4/80 | 10/68: 0.06057
2024-11-16 23:25:10 : 4/80 | 11/68: 0.09183
2024-11-16 23:25:12 : 4/80 | 12/68: 0.03743
2024-11-16 23:25:14 : 4/80 | 13/68: 0.06730
2024-11-16 23:25:16 : 4/80 | 14/68: 0.07891
2024-11-16 23:25:19 : 4/80 | 15/68: 0.08334
2024-11-16 23:25:21 : 4/80 | 16/68: 0.05299
2024-11-16 23:25:23 : 4/80 | 17/68: 0.05348
2024-11-16 23:25:25 : 4/80 | 18/68: 0.03287
2024-11-16 23:25:27 : 4/80 | 19/68: 0.08044
2024-11-16 23:25:29 : 4/80 | 20/68: 0.08727
2024-11-16 23:25:31 : 4/80 | 21/68: 0.04527
2024-11-16 23:25:33 : 4/80 | 22/68: 0.02870
2024-11-16 23:25:35 : 4/80 | 23/68: 0.07259
2024-11-16 23:25:37 : 4/80 | 24/68: 0.06290
2024-11-16 23:25:39 : 4/80 | 25/68: 0.02903
2024-11-16 23:25:41 : 4/80 | 26/68: 0.04927
2024-11-16 23:25:43 : 4/80 | 27/68: 0.03134
2024-11-16 23:25:45 : 4/80 | 28/68: 0.06275
2024-11-16 23:25:47 : 4/80 | 29/68: 0.07057
2024-11-16 23:25:49 : 4/80 | 30/68: 0.06041
2024-11-16 23:25:51 : 4/80 | 31/68: 0.06404
2024-11-16 23:25:53 : 4/80 | 32/68: 0.04538
2024-11-16 23:25:55 : 4/80 | 33/68: 0.03135
2024-11-16 23:25:57 : 4/80 | 34/68: 0.04947
2024-11-16 23:25:59 : 4/80 | 35/68: 0.02088
2024-11-16 23:26:01 : 4/80 | 36/68: 0.04478
2024-11-16 23:26:03 : 4/80 | 37/68: 0.06188
2024-11-16 23:26:05 : 4/80 | 38/68: 0.05380
2024-11-16 23:26:08 : 4/80 | 39/68: 0.05515
2024-11-16 23:26:10 : 4/80 | 40/68: 0.05306
2024-11-16 23:26:12 : 4/80 | 41/68: 0.04594
2024-11-16 23:26:14 : 4/80 | 42/68: 0.02619
2024-11-16 23:26:16 : 4/80 | 43/68: 0.11539
2024-11-16 23:26:18 : 4/80 | 44/68: 0.06375
2024-11-16 23:26:20 : 4/80 | 45/68: 0.02817
2024-11-16 23:26:22 : 4/80 | 46/68: 0.05510
2024-11-16 23:26:25 : 4/80 | 47/68: 0.03457
2024-11-16 23:26:27 : 4/80 | 48/68: 0.03013
2024-11-16 23:26:29 : 4/80 | 49/68: 0.04621
2024-11-16 23:26:31 : 4/80 | 50/68: 0.10679
2024-11-16 23:26:33 : 4/80 | 51/68: 0.06249
2024-11-16 23:26:35 : 4/80 | 52/68: 0.05250
2024-11-16 23:26:38 : 4/80 | 53/68: 0.05759
2024-11-16 23:26:40 : 4/80 | 54/68: 0.06569
2024-11-16 23:26:42 : 4/80 | 55/68: 0.07556
2024-11-16 23:26:44 : 4/80 | 56/68: 0.04648
2024-11-16 23:26:46 : 4/80 | 57/68: 0.05399
2024-11-16 23:26:48 : 4/80 | 58/68: 0.05487
2024-11-16 23:26:50 : 4/80 | 59/68: 0.05388
2024-11-16 23:26:53 : 4/80 | 60/68: 0.03154
2024-11-16 23:26:55 : 4/80 | 61/68: 0.06487
2024-11-16 23:26:57 : 4/80 | 62/68: 0.02839
2024-11-16 23:26:59 : 4/80 | 63/68: 0.03017
2024-11-16 23:27:01 : 4/80 | 64/68: 0.02074
2024-11-16 23:27:03 : 4/80 | 65/68: 0.06740
2024-11-16 23:27:06 : 4/80 | 66/68: 0.06471
